Product Price,Model Number,Processor Type,Processor Speed,RAM Size,Graphics Card,Screen Size,Operating System,Display Type,Storage Value,Storage Type,kmeans
6799.0,Microsoft Surface Pro 9,Intel Core i7-1265U (12th Gen) Evo Platform,1.2,16,Intel Iris Xe Graphics,13.0,Windows 11 Home,Full HD,512,SSD M.2,1
1899.0,Acer Travelmate TMP215-53-596G,Intel Core i5-1135G7 (11th Gen),2.4,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
4499.0,MacBook Air M2 15.3 2023,Apple M2 chip,3.2,8,10-core GPU,15.3,macOS Ventura,Full HD,256,SSD,0
1999.0,Acer Aspire 3 A315-58-74GF,Intel Core i7-1165G7 (11th Gen),2.8,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,0
7199.0,Asus ROG Zephyrus GU603VV-N4078W,Intel Core i7-13620H (13th Gen),2.4,32,NVIDIA GeForce RTX 4060 8GB,16.0,Windows 11 Home,2k,1024,SSD M.2,4
6999.0,HP Elite Dragonfly G3,Intel Core i7-1255U (12th Gen),1.7,16,Intel Iris Xe Graphics,13.5,Windows 11 Professional,WUXGA,512,SSD M.2,1
7199.0,Apple MacBook Pro M3,Apple M3 chip,3.4,8,10-core GPU,14.2,macOS Sonoma,Full HD,512,SSD,0
7199.0,ThinkPad E15 Gen 4,Intel Core i7-1255U (12th Gen),1.7,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD,1
3299.0,HP EliteBook 640 14 inch G9,Intel Core i7-1255U (12th Gen),1.7,8,Intel Iris Xe Graphics,14.0,Dos,Full HD,512,SSD M.2,1
1299.0,Acer Aspire Lite AL14-31P-34U9,Intel Core i3-N300,1.7,8,Intel UHD Graphics,14.0,Dos,WUXGA,512,SSD M.2,1
14999.0,Lenovo Legion Pro 7 16IRX9H,Intel Core i9-14900HX (14th Generation),1.6,32,"NVIDIA GeForce RTX 4090 16GB GDDR6, Boost Clock 2040MHz, TGP 175W, 686 AI TOPS",16.0,Windows 11 Home,WQXGA,2048,SSD M.2 + SSD M.2,4
14999.0,ThinkPad E16 Gen 1 (Intel),Intel Core i5-1335U (13th Gen),1.3,8,Intel Iris Xe Graphics,16.0,Dos,WUXGA,512,SSD M.2,1
1499.0,Acer Aspire 3 A315-59-58XR,Intel Core i5-1235U (12th Gen),1.3,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
3299.0,Lenovo IdeaPad Flex 5 14IRU8,Intel Core i7-1355U (13th Gen),1.7,16,Intel Iris Xe Graphics,14.0,Windows 11 Home,WUXGA,512,SSD M.2,1
3299.0,Dell Latitude 3540,Intel Core i7-1355U (13th Gen),1.7,8,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
14799.0,Apple MacBook Pro 14-Inch M3 Pro,Apple M3 Max chip,3.4,36,30-core GPU,14.2,macOS Sonoma,Full HD,1024,SSD,2
3899.0,Microsoft Surface Pro 9,Intel Core i5-1245U (12th Gen) Evo Platform,1.2,8,Intel Iris Xe Graphics,13.0,Windows 11 Home,Full HD,256,SSD M.2,1
2399.0,HP 15s-fq5037nx,Intel Core i7-1255U (12th Gen),3.5,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,0
2399.0,Dell Latitude 5540,Intel Core i7-1355U (13th Gen),1.7,16,Intel Integrated Graphics,15.6,Dos,Full HD,512,SSD M.2,1
4399.0,Lenovo Yoga 7 14IRL8,Intel Core i7-1360P (13th Gen),1.6,16,Intel Iris Xe Graphics,14.0,Windows 11 Home,OLED,512,SSD M.2,1
4999.0,Microsoft Surface Studio,Quad-core Intel Core H35 i5-11300H (11th Gen),3.1,16,Intel Iris Xe Graphics,14.4,Windows 11 Home,Full HD,256,SSD,0
13299.0,Apple MacBook Pro 16-Inch M3 Pro,Apple M3 Pro chip,3.5,36,18-core GPU,16.2,macOS Sonoma,Full HD,512,SSD,2
7499.0,Lenovo Legion 5 Pro 16IRX9,Intel Core i7-14700HX (14th Generation),1.5,16,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W",16.0,Windows 11 Home,WQXGA,1024,SSD M.2,4
1899.0,Acer Aspire 3 A315-59-74JV,Intel Core i7-1255U (12th Gen),1.7,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
